,date,600519,600030,601857,601628
96,2017-12,0.105372,-0.0568,-0.009792,-0.017108
97,2018-01,0.09613,0.176243,0.113721,-0.00624
98,2018-02,-0.050906,-0.149366,-0.112098,-0.11236
99,2018-03,-0.057882,0.025953,-0.045,-0.053984
100,2018-04,-0.03085,0.022067,0.001309,-0.035419
101,2018-05,0.13373,-0.018431,0.043137,0.00204
102,2018-06,-0.012337,-0.111051,-0.025769,-0.067205
103,2018-07,-0.006863,0.017501,0.002594,0.041297
104,2018-08,-0.092575,-0.028499,0.040103,-0.057569
105,2018-09,0.10742,0.044431,0.152043,0.026244
106,2018-10,-0.248082,0.028161,-0.093784,-0.035714
107,2018-11,0.029331,-0.0169,-0.084236,-0.01326
108,2018-12,0.044265,-0.050978,-0.052562,-0.055144
109,2019-01,0.168794,0.140537,0.015257,0.116233
110,2019-02,0.094852,0.287514,0.069672,0.246924
111,2019-03,0.131098,0.05402,-0.029374,-0.002114
112,2019-04,0.140529,-0.070218,-0.025,0.069915
113,2019-05,-0.086242,-0.126302,-0.035088,-0.137954
114,2019-06,0.121954,0.182812,-0.025176,0.084631
115,2019-07,-0.011585,-0.02436,-0.053779,0.048376
116,2019-08,0.174172,-0.023684,-0.059908,-0.028292
117,2019-09,0.007005,0.007168,0.023991,-0.047487
118,2019-10,0.026096,-0.034698,-0.050081,0.217249
119,2019-11,-0.043228,-0.013364,-0.04932,-0.019133
120,2019-12,0.04783,0.181691,0.042934,0.062786
121,2020-01,-0.110059,-0.055336,-0.03259,-0.074849
122,2020-02,0.003989,-0.02092,-0.101064,-0.087105
123,2020-03,0.051088,-0.052991,-0.088757,-0.105603
124,2020-04,0.139244,0.069495,-0.038961,0.083523
125,2020-05,0.079719,-0.060338,-0.042793,-0.103013
126,2020-06,0.082934,0.082622,0.001411,0.062891
127,2020-07,0.147175,0.242638,0.062053,0.369045
128,2020-08,0.064546,0.078041,-0.004494,0.19704
129,2020-09,-0.066051,-0.05566,-0.052649,0.01717
130,2020-10,0.000911,-0.04662,-0.009733,0.037137
131,2020-11,0.026281,0.05833,0.058968,-0.079644
132,2020-12,0.165755,-0.029703,-0.037123,-0.094789
133,2021-01,0.059149,-0.035714,-0.014458,-0.058348
134,2021-02,0.003119,-0.038801,0.066015,-0.082711
135,2021-03,-0.0536,-0.123303,-0.013761,-0.04041
136,2021-04,-0.001105,-0.001674,-0.011628,0.039283
137,2021-05,0.105253,0.094759,0.087059,0.100695
138,2021-06,-0.064172,-0.04481,0.164119,-0.068956
139,2021-07,-0.183649,-0.094226,-0.115312,-0.156851
140,2021-08,-0.072061,0.155545,0.055556,0.03
141,2021-09,0.174583,-0.015576,0.244431,0.033287
142,2021-10,-0.002142,0.023734,-0.088186,0.0
143,2021-11,0.05733,-0.08153,-0.140511,-0.008389
144,2021-12,0.061753,0.111064,0.042463,0.018274
145,2022-01,-0.079512,-0.013504,0.022403,-0.084081
146,2022-02,-0.051192,-0.051626,0.149403,0.044267
147,2022-03,-0.039879,-0.104158,-0.043328,-0.088256
148,2022-04,0.06363,-0.057895,-0.025362,-0.030107
149,2022-05,-0.013318,0.005079,0.052045,-0.023576
150,2022-06,0.145587,0.094492,-0.046798,0.250704
151,2022-07,-0.071667,-0.095106,-0.018868,-0.082802
152,2022-08,0.013464,0.023639,0.026923,0.101543
153,2022-09,-0.026767,-0.107582,-0.001606,0.030293
154,2022-10,-0.279039,-0.012055,-0.066277,-0.159026
155,2022-11,0.184444,0.151656,0.093946,0.359023
