Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,2.13,2.22,2.01,2.05,1.82444,160185286
2015-05-19,2.17,2.34,2.16,2.33,2.0736310000000002,192730310
2015-05-20,2.35,2.37,2.25,2.36,2.10033,59085150
2015-05-21,2.35,2.45,2.34,2.37,2.1092299999999997,54016569
2015-05-22,2.36,2.39,2.3,2.31,2.055832,38646976
2015-05-25,2.3,2.345,2.29,2.32,2.064732,23741251
2015-05-26,2.32,2.33,2.3,2.3,2.046932,24299724
2015-05-27,2.26,2.28,2.24,2.25,2.002434,52014234
2015-05-28,2.2,2.21,2.17,2.18,1.940136,61783716
2015-05-29,2.13,2.2,2.13,2.19,1.9490349999999999,69019494
2015-06-01,2.16,2.18,2.15,2.16,1.922336,25449622
2015-06-02,2.17,2.19,2.14,2.14,1.904537,37804164
2015-06-03,2.15,2.17,2.14,2.15,1.9134369999999998,54544136
2015-06-04,2.14,2.17,2.14,2.15,1.9134369999999998,30359403
2015-06-05,2.14,2.15,2.12,2.14,1.904537,23057508
2015-06-09,2.09,2.11,2.08,2.09,1.860038,31269446
2015-06-10,2.09,2.12,2.08,2.1,1.8689380000000002,27370699
2015-06-11,2.12,2.14,2.11,2.13,1.8956369999999998,32285710
2015-06-12,2.1,2.11,2.1,2.1,1.8689380000000002,22504161
2015-06-15,2.07,2.1,2.07,2.08,1.8511389999999999,20221469
2015-06-16,2.06,2.09,2.06,2.08,1.8511389999999999,26685156
2015-06-17,2.07,2.08,2.06,2.08,1.8511389999999999,24826959
2015-06-18,2.05,2.065,2.02,2.03,1.8066400000000002,36865389
2015-06-19,2.01,2.02,1.96,1.96,1.7443419999999998,67093525
2015-06-22,1.92,1.925,1.87,1.89,1.6820439999999999,40390654
2015-06-23,1.85,1.905,1.85,1.895,1.686494,34295403
2015-06-24,1.9,1.975,1.9,1.94,1.726543,40391955
2015-06-25,1.93,1.9425,1.92,1.93,1.717643,32331027
2015-06-26,1.89,1.895,1.825,1.825,1.624196,35859955
2015-06-29,1.8,1.8,1.73,1.74,1.548548,32761144
2015-06-30,1.725,1.8,1.725,1.79,1.5930469999999999,44581715
2015-07-01,1.78,1.81,1.77,1.805,1.6063969999999999,28490794
2015-07-02,1.805,1.84,1.795,1.825,1.624196,26209685
2015-07-03,1.805,1.81,1.775,1.79,1.5930469999999999,19700073
2015-07-06,1.77,1.79,1.755,1.78,1.584147,15999339
2015-07-07,1.78,1.857,1.77,1.815,1.6152959999999998,46223152
2015-07-08,1.755,1.7825,1.725,1.725,1.535199,55452712
2015-07-09,1.7,1.79,1.69,1.755,1.561898,48666592
2015-07-10,1.79,1.82,1.775,1.78,1.584147,19376893
2015-07-13,1.75,1.76,1.705,1.705,1.5174,28350873
2015-07-14,1.735,1.76,1.71,1.76,1.5663479999999999,40328002
2015-07-15,1.74,1.805,1.74,1.77,1.575248,41888394
2015-07-16,1.76,1.795,1.755,1.775,1.579697,23295299
2015-07-17,1.765,1.835,1.76,1.825,1.624196,36535227
2015-07-20,1.82,1.84,1.8,1.835,1.6330959999999999,16285543
2015-07-21,1.81,1.835,1.775,1.825,1.624196,29892686
2015-07-22,1.79,1.825,1.772,1.785,1.588597,26748978
2015-07-23,1.74,1.745,1.72,1.725,1.535199,28168542
2015-07-24,1.75,1.79,1.75,1.775,1.579697,18145961
2015-07-27,1.75,1.765,1.74,1.76,1.5663479999999999,9270868
2015-07-28,1.74,1.7675,1.74,1.74,1.548548,23140067
2015-07-29,1.765,1.795,1.755,1.78,1.584147,19187878
2015-07-30,1.79,1.825,1.79,1.8,1.601947,16638964
2015-07-31,1.785,1.795,1.767,1.785,1.588597,20857150
2015-08-03,1.745,1.745,1.72,1.725,1.535199,15079773
2015-08-04,1.7,1.725,1.69,1.715,1.526299,27496130
2015-08-05,1.705,1.725,1.7,1.72,1.530749,26480265
2015-08-06,1.74,1.755,1.73,1.735,1.5440989999999999,13492594
2015-08-07,1.715,1.72,1.69,1.695,1.5085,12678998
2015-08-10,1.695,1.695,1.675,1.685,1.4996,10630023
2015-08-11,1.71,1.74,1.7,1.72,1.530749,18466083
2015-08-12,1.715,1.72,1.67,1.67,1.486251,20637809
2015-08-13,1.68,1.695,1.66,1.675,1.490701,13432869
2015-08-14,1.66,1.67,1.64,1.64,1.459552,14962849
2015-08-17,1.62,1.65,1.61,1.615,1.437302,7027986
2015-08-18,1.6,1.6,1.56,1.585,1.410603,12286351
2015-08-19,1.55,1.58,1.55,1.575,1.4017030000000001,13021412
2015-08-20,1.535,1.555,1.52,1.52,1.352755,17131685
2015-08-21,1.5,1.542,1.485,1.52,1.352755,24622068
2015-08-24,1.47,1.5,1.4,1.405,1.250408,25748124
2015-08-25,1.4,1.582,1.4,1.53,1.3616549999999998,41232210
2015-08-26,1.48,1.505,1.455,1.47,1.308257,32871327
2015-08-27,1.51,1.51,1.48,1.49,1.326056,15704929
2015-08-28,1.53,1.555,1.51,1.545,1.375005,25962531
2015-08-31,1.52,1.525,1.495,1.52,1.352755,28038059
2015-09-01,1.495,1.51,1.475,1.51,1.343855,19335796
2015-09-02,1.475,1.4975,1.46,1.495,1.330506,16874495
2015-09-03,1.51,1.525,1.49,1.51,1.343855,18079889
2015-09-04,1.555,1.565,1.525,1.54,1.370554,21864361
2015-09-07,1.53,1.575,1.51,1.555,1.383904,11378935
2015-09-08,1.565,1.645,1.555,1.64,1.459552,19893098
2015-09-09,1.675,1.715,1.67,1.69,1.50405,25983947
2015-09-10,1.66,1.7,1.645,1.685,1.4996,21495858
2015-09-11,1.665,1.715,1.65,1.685,1.4996,15932414
2015-09-14,1.69,1.69,1.655,1.67,1.486251,15619334
2015-09-15,1.64,1.645,1.545,1.545,1.375005,40415526
2015-09-16,1.565,1.59,1.555,1.57,1.397254,24375776
2015-09-17,1.585,1.6,1.542,1.555,1.383904,34301809
2015-09-18,1.55,1.56,1.52,1.54,1.370554,18394977
2015-09-21,1.51,1.515,1.47,1.48,1.317156,19878938
2015-09-22,1.5,1.51,1.47,1.5,1.334956,14017907
