Date,Open,High,Low,Close,Adj Close,Volume
2005-12-14,1.24825,1.26746,1.20984,1.24825,0.451139,58031680
2005-12-15,1.23865,1.25785,1.23865,1.24825,0.451139,41530061
2005-12-16,1.23865,1.24825,1.23865,1.23865,0.44766999999999996,11914000
2005-12-19,1.23865,1.25785,1.23865,1.25785,0.45460900000000004,3264489
2005-12-20,1.25785,1.27706,1.25785,1.26746,0.458082,3149992
2005-12-21,1.26746,1.30586,1.26746,1.29626,0.468491,4396049
2005-12-22,1.2866600000000001,1.30586,1.2866600000000001,1.30586,0.47196000000000005,3702038
2005-12-23,1.30586,1.32507,1.30586,1.32507,0.47890299999999997,3068427
2005-12-28,1.32507,1.32507,1.31546,1.31546,0.47543,668214
2005-12-29,1.31546,1.31546,1.2866600000000001,1.2866600000000001,0.465021,3428535
2005-12-30,1.2866600000000001,1.29626,1.27706,1.27706,0.461552,3772469
2006-01-03,1.2866600000000001,1.29626,1.27706,1.29626,0.468491,204793
2006-01-04,1.29626,1.29626,1.26746,1.27706,0.461552,3552927
2006-01-05,1.26746,1.2866600000000001,1.26746,1.27706,0.461552,3661763
2006-01-06,1.27706,1.27706,1.26746,1.26746,0.458082,3492964
2006-01-09,1.26746,1.26746,1.23865,1.24825,0.451139,8007694
2006-01-10,1.24825,1.25785,1.23865,1.25785,0.45460900000000004,2587083
2006-01-11,1.25785,1.26746,1.24825,1.26746,0.458082,3585515
2006-01-12,1.26746,1.27706,1.25785,1.25785,0.45460900000000004,1474388
2006-01-13,1.27706,1.27706,1.24825,1.24825,0.451139,2526633
2006-01-16,1.24825,1.25785,1.24825,1.25785,0.45460900000000004,1823695
2006-01-17,1.25785,1.25785,1.23865,1.23865,0.44766999999999996,4628500
2006-01-18,1.23865,1.24825,1.23865,1.24825,0.451139,7250872
2006-01-19,1.24825,1.25785,1.24825,1.25785,0.45460900000000004,3823696
2006-01-20,1.25785,1.25785,1.25785,1.25785,0.45460900000000004,1436932
2006-01-23,1.25785,1.25785,1.24825,1.25785,0.45460900000000004,831083
2006-01-24,1.24825,1.25785,1.24825,1.24825,0.451139,2816298
2006-01-25,1.24825,1.24825,1.23865,1.23865,0.44766999999999996,2359380
2006-01-27,1.23865,1.24825,1.23865,1.23865,0.44766999999999996,10127407
2006-01-30,1.25785,1.25785,1.24825,1.24825,0.451139,10192322
2006-01-31,1.25785,1.25785,1.24825,1.24825,0.451139,1078748
2006-02-01,1.25785,1.25785,1.23865,1.24825,0.451139,9768514
2006-02-02,1.23865,1.24825,1.23865,1.23865,0.44766999999999996,715637
2006-02-03,1.24825,1.26746,1.24825,1.25785,0.45460900000000004,5568367
2006-02-06,1.24825,1.25785,1.24825,1.25785,0.45460900000000004,1526226
2006-02-07,1.25785,1.26746,1.25785,1.25785,0.45460900000000004,1213504
2006-02-08,1.25785,1.27706,1.25785,1.27706,0.461552,2375907
2006-02-09,1.26746,1.2866600000000001,1.26746,1.27706,0.461552,2670375
2006-02-10,1.26746,1.27706,1.26746,1.26746,0.458082,4064000
2006-02-13,1.25785,1.26746,1.24825,1.26746,0.458082,2750779
